Tag,Policy.Number,Age,Years.of.Driving.Experience,Number.of.Vehicles,Gender,Married,Vehicle.Age,Fuel.Type,Losses
1,150024,24,5,1,M,Married,11,P,203.3195946
2,144880,31,10,1,F,Single,6,P,402.1973024
3,133742,56,37,1,M,Married,0,D,553.1320959
4,151282,52,31,1,F,Married,15,P,292.4305792
5,174407,20,3,1,M,Single,15,P,246.5405761
6,142548,29,8,1,M,Married,9,P,384.6763948
7,183396,36,19,1,F,Single,0,P,462.1588562
8,106838,67,49,1,F,Married,15,P,168.9340361
9,137434,69,48,1,M,Single,5,P,69.89304091
10,192628,16,0,1,F,Single,14,P,242.7725761
11,154894,19,1,1,M,Single,12,D,763.7298567
12,187293,29,8,1,F,Single,14,P,407.3893742
13,173214,20,1,1,F,Married,13,P,161.5795211
14,163905,67,49,1,M,Married,7,P,242.8887756
15,157356,46,27,1,M,Married,7,P,358.521705
16,160387,57,40,1,M,Married,15,P,314.6620972
17,127360,65,48,1,M,Single,11,P,306.7395011
18,108345,20,1,1,M,Single,15,D,772.6448203
19,122164,67,49,1,M,Single,3,D,593.4274113
20,103555,62,45,1,M,Married,0,P,275.2144091
21,165177,44,27,1,F,Single,10,P,472.5998112
22,140896,17,0,1,M,Single,15,D,877.0778833
23,197555,29,10,1,F,Single,0,D,825.2772277
24,198709,66,49,1,F,Single,6,P,273.1567349
25,155134,22,3,1,F,Single,11,P,220.6385329
26,104183,33,16,1,M,Single,13,P,169.3764585
27,131927,69,48,1,F,Married,0,P,98.07355841
28,146242,39,22,1,M,Married,3,D,680.1630093
29,138988,41,22,1,F,Married,13,P,210.312302
30,102189,20,2,1,F,Married,8,P,354.1103301
31,128861,68,49,1,F,Married,9,P,155.7208447
32,101564,31,12,1,M,Married,4,D,670.8921754
33,105052,30,13,1,M,Single,1,P,446.7508297
34,116579,64,47,1,M,Married,5,P,109.0263426
35,171608,68,47,1,F,Married,7,P,119.7330443
36,171105,49,30,1,M,Single,10,P,454.8247336
37,152298,23,4,1,M,Single,10,D,845.7592784
38,196222,50,32,1,M,Single,13,P,274.3142835
39,197889,39,18,1,F,Single,3,D,791.135206
40,109945,35,14,1,F,Single,6,P,355.2515755
41,120208,38,20,1,M,Married,1,D,522.8312209
42,144803,66,47,1,M,Single,0,P,347.0821846
43,167746,58,39,1,F,Single,2,P,381.7477309
44,140463,25,6,1,M,Single,12,D,747.5273873
45,193913,45,26,1,M,Married,9,P,391.2383998
46,193219,48,29,1,M,Married,12,P,330.1933096
47,196673,18,1,1,M,Single,7,D,904.8401349
48,101665,40,19,1,F,Single,9,P,387.4851589
49,152722,17,0,1,M,Married,11,P,481.5460256
50,181720,32,12,1,M,Married,15,P,178.4623223
51,196090,25,6,1,M,Married,9,D,597.4422021
52,137351,56,36,1,M,Single,9,P,448.7108596
53,116625,67,47,1,F,Married,4,P,218.5837842
54,120268,60,41,1,F,Married,8,P,227.6644878
55,181439,60,41,1,F,Single,2,D,720.2641611
56,182975,16,0,1,M,Single,8,D,950.9628027
57,119576,42,21,1,M,Single,11,P,368.9411753
58,101760,20,1,1,F,Married,14,P,191.4841522
59,124401,40,19,1,M,Single,8,D,503.3720137
60,132104,16,0,1,M,Married,15,P,264.7891684
61,185013,70,51,1,M,Single,7,P,341.9072784
62,118353,20,3,1,F,Married,15,P,204.9823703
63,157903,28,9,1,M,Single,5,D,707.3793245
64,114055,28,10,1,F,Single,3,D,865.1666105
65,174077,20,2,1,F,Married,9,P,435.088519
66,155060,22,3,1,M,Single,4,D,1095.601585
67,151384,20,2,1,M,Married,12,P,373.3754632
68,127729,64,47,1,M,Married,11,P,48.01445411
69,198511,44,25,1,F,Single,13,P,447.2328034
70,153908,17,0,1,M,Single,12,D,665.4768153
71,169358,22,4,1,M,Married,14,P,316.9985022
72,108996,61,40,1,M,Single,5,P,388.6544422
73,140129,22,4,1,F,Single,13,P,405.6484005
74,198046,60,42,1,F,Single,12,P,46.01271223
75,149010,17,0,1,M,Married,14,P,354.6611912
76,151476,17,0,1,F,Single,11,P,296.8081537
77,136743,63,43,1,F,Single,4,P,217.1205792
78,171560,41,20,1,M,Married,6,P,375.6052838
79,146306,65,48,1,M,Single,15,P,25.88680711
80,111448,26,7,1,F,Married,5,D,606.3573767
81,149440,59,42,1,M,Single,11,P,351.1678295
82,122855,66,45,1,F,Married,12,P,15.5892684
83,162634,29,8,1,M,Single,5,D,738.9508303
84,187253,21,2,1,F,Married,13,P,183.0600479
85,156505,21,3,1,M,Married,13,P,311.353198
86,115303,64,46,1,F,Married,11,P,260.2725911
87,157222,36,17,1,F,Married,7,P,322.0024982
88,163555,46,27,1,M,Single,10,D,596.3227132
89,138553,60,42,1,M,Married,13,P,162.3570971
90,185458,25,8,1,M,Married,15,D,525.0439169
91,102319,47,30,1,F,Married,6,P,329.6301926
92,140871,24,6,1,M,Single,13,P,413.8328632
93,132547,40,23,1,M,Married,1,D,593.2666445
94,198278,21,2,1,F,Single,14,P,411.5067461
95,110208,35,16,1,F,Single,7,P,394.9982853
96,160827,70,53,1,F,Married,8,P,59.00575916
97,183596,48,27,1,M,Single,0,D,574.8216925
98,130589,62,44,1,F,Single,2,P,84.75366158
99,103014,50,29,1,M,Single,8,D,552.2467274
100,188352,67,50,1,M,Single,6,P,78.38607932
101,161398,54,34,1,M,Married,9,P,314.085069
102,147805,25,8,1,M,Single,5,D,1200
103,190621,16,0,1,M,Single,15,P,1200
104,161675,66,48,1,M,Single,10,P,1200
105,165974,63,43,1,F,Single,10,P,1200
106,152551,52,34,1,M,Married,5,D,1200
107,142085,25,7,1,F,Married,11,P,1200
108,191297,38,20,1,F,Married,3,D,1200
109,164185,25,6,1,F,Single,8,D,1200
110,122992,50,32,1,F,Single,15,P,1200
111,110488,35,15,1,M,Single,9,P,1200
112,111434,64,45,1,F,Single,13,P,1200
113,176699,68,49,1,F,Married,2,P,235.1357629
114,157408,63,45,1,F,Married,3,P,60.82862632
115,104797,24,7,1,M,Single,9,D,750.7435809
116,167022,58,38,1,F,Married,10,P,314.6819894
117,112619,17,0,1,M,Single,8,D,1197.444316
118,178782,16,0,1,F,Single,12,D,610.5008673
119,130506,20,1,1,M,Single,13,D,867.5781431
120,173005,58,38,1,F,Married,14,P,284.2330566
121,196406,50,33,1,M,Married,11,P,142.5319857
122,151636,58,37,1,M,Single,9,P,443.1218792
123,119860,23,5,1,M,Single,15,D,1086.924905
124,100079,20,3,1,M,Married,1,D,681.5827516
